Team,Repository,Role
hyperlocal-admin,onlinesales-ai/onboardingScripts,admin
hyperlocal-admin,onlinesales-ai/pmaxLauncher,admin
hyperlocal-admin,onlinesales-ai/portfolioBidStrategyUpdater,admin
hyperlocal-admin,onlinesales-ai/suchiService,admin
hyperlocal-admin,onlinesales-ai/vendorUploader,read
hyperlocal-performance,onlinesales-ai/aresJobGen,read
hyperlocal-performance,onlinesales-ai/localium-DA-workspace,write
hyperlocal-performance-da,onlinesales-ai/aresJobGen,read
hyperlocal-performance-da,onlinesales-ai/localium-DA-Meta-workspace,write
hyperlocal-performance-da,onlinesales-ai/localium-DA-workspace,write
hyperlocal-write,onlinesales-ai/aresJobGen,write
hyperlocal-write,onlinesales-ai/butlerService,write
hyperlocal-write,onlinesales-ai/craftService,read
hyperlocal-write,onlinesales-ai/flairminds,write
hyperlocal-write,onlinesales-ai/hyperlocalCampaignConfidenceScorePopulator,write
hyperlocal-write,onlinesales-ai/hyperlocalForecastingModelTrainingFlow,write
hyperlocal-write,onlinesales-ai/kamService,write
hyperlocal-write,onlinesales-ai/labs,write
hyperlocal-write,onlinesales-ai/lmsCrmSyncApp,admin
hyperlocal-write,onlinesales-ai/lmsNodeEventManagerConsumer,write
hyperlocal-write,onlinesales-ai/localium-catalog-svc,write
hyperlocal-write,onlinesales-ai/onboardingScripts,write
hyperlocal-write,onlinesales-ai/pmaxLauncher,write
hyperlocal-write,onlinesales-ai/portfolioBidStrategyUpdater,admin
hyperlocal-write,onlinesales-ai/suchiService,write
hyperlocal-write,onlinesales-ai/vendorUploader,write
infra,onlinesales-ai/auth0Automation,read
infra,onlinesales-ai/engageService,read
infra,onlinesales-ai/gitops,read
infra,onlinesales-ai/hadesV2,read
infra,onlinesales-ai/osmos-keyword-curator-app,admin
infra-admin,onlinesales-ai/ArgoCD-Prod,admin
infra-admin,onlinesales-ai/ArgoCD-Stage,admin
infra-admin,onlinesales-ai/asyncJobsService,admin
infra-admin,onlinesales-ai/athenaJobsV4BQ,admin
infra-admin,onlinesales-ai/auth0Automation,read
infra-admin,onlinesales-ai/brandAdServerV2,admin
infra-admin,onlinesales-ai/brandAdsUIService,admin
infra-admin,onlinesales-ai/butlerService,admin
infra-admin,onlinesales-ai/craftService,admin
infra-admin,onlinesales-ai/engageService,admin
infra-admin,onlinesales-ai/frigga-testing-daemon,maintain
infra-admin,onlinesales-ai/gcp-alerts-terraform,admin
infra-admin,onlinesales-ai/gcp-infra,admin
infra-admin,onlinesales-ai/gitops,admin
infra-admin,onlinesales-ai/hadesV2,read
infra-admin,onlinesales-ai/instore-cms-client,admin
infra-admin,onlinesales-ai/instoreSchedulingConsumer,admin
infra-admin,onlinesales-ai/instoreScripts,admin
infra-admin,onlinesales-ai/instoreService,admin
infra-admin,onlinesales-ai/java-shared-lib-template,maintain
infra-admin,onlinesales-ai/lmsNodeEventManagerConsumer,admin
infra-admin,onlinesales-ai/logger_frigga,admin
infra-admin,onlinesales-ai/multiVerseService,admin
infra-admin,onlinesales-ai/onboardingScripts,admin
infra-admin,onlinesales-ai/os-adserver-util,admin
infra-admin,onlinesales-ai/OS-Debezium,admin
infra-admin,onlinesales-ai/os-terraform,admin
infra-admin,onlinesales-ai/osAdServerConfigs,admin
infra-admin,onlinesales-ai/osmos-advertiser-suggestion-generator,admin
infra-admin,onlinesales-ai/osmos-icu-tokenizer,admin
infra-admin,onlinesales-ai/osmos-keyword-curator-app,admin
infra-admin,onlinesales-ai/osSvcClient4pyV2,admin
infra-admin,onlinesales-ai/plaAdServer,admin
infra-admin,onlinesales-ai/pmaxLauncher,admin
infra-admin,onlinesales-ai/propertySettingsSvcV2_frigga,admin
infra-admin,onlinesales-ai/publisher-svc,admin
infra-admin,onlinesales-ai/reusable-workflows,admin
infra-admin,onlinesales-ai/reviewService,admin
infra-admin,onlinesales-ai/revXAdServerNodeV2,admin
infra-admin,onlinesales-ai/rmhcReporting,admin
infra-admin,onlinesales-ai/rmhcTracking,admin
infra-write,onlinesales-ai/adServer-frigga,maintain
infra-write,onlinesales-ai/auth0Automation,read
infra-write,onlinesales-ai/engageService,read
infra-write,onlinesales-ai/gitops,write
infra-write,onlinesales-ai/hadesV2,read
infra-write,onlinesales-ai/instoreRedisLoader,write
infra-write,onlinesales-ai/osmos-keyword-curator-app,admin
infra-write,onlinesales-ai/osPackageLauncher,maintain
infra-write,onlinesales-ai/publisher-svc,write
instore,onlinesales-ai/in-store-screen-registration-API,write
instore,onlinesales-ai/instore-cms-client,read
instore,onlinesales-ai/instoreAdServer,read
instore,onlinesales-ai/instoreCampaignBookingProcessor,read
instore,onlinesales-ai/instoreCMSSync,read
instore,onlinesales-ai/instoreConsumer,read
instore,onlinesales-ai/InstoreDigitalScreenStatusSync,read
instore,onlinesales-ai/instoreRedisLoader,read
instore,onlinesales-ai/instoreSchedulingConsumer,read
instore,onlinesales-ai/instoreScripts,read
instore,onlinesales-ai/instoreService,read
instore,onlinesales-ai/instoreTranscoder,read
instore,onlinesales-ai/kuberService,read
instore,onlinesales-ai/multiVerseService,read
instore-admin,onlinesales-ai/in-store-screen-registration-API,write
instore-admin,onlinesales-ai/instore-cms-client,admin
instore-admin,onlinesales-ai/instoreAdServer,admin
instore-admin,onlinesales-ai/instoreAlerting,admin
instore-admin,onlinesales-ai/instoreCampaignBookingProcessor,admin
instore-admin,onlinesales-ai/instoreCMSSync,admin
instore-admin,onlinesales-ai/instoreConsumer,admin
instore-admin,onlinesales-ai/InstoreDigitalScreenStatusSync,admin
instore-admin,onlinesales-ai/instoreRedisLoader,admin
instore-admin,onlinesales-ai/instoreSchedulingConsumer,admin
instore-admin,onlinesales-ai/instoreScripts,admin
instore-admin,onlinesales-ai/instoreService,admin
instore-admin,onlinesales-ai/instoreTranscoder,admin
instore-admin,onlinesales-ai/kuberService,read
instore-admin,onlinesales-ai/multiVerseService,read
instore-admin,onlinesales-ai/onboardingScripts,admin
instore-write,onlinesales-ai/in-store-screen-registration-API,write
instore-write,onlinesales-ai/instore-cms-client,write
instore-write,onlinesales-ai/instoreAdServer,write
instore-write,onlinesales-ai/instoreAlerting,write
instore-write,onlinesales-ai/instoreCampaignBookingProcessor,write
instore-write,onlinesales-ai/instoreCMSSync,write
instore-write,onlinesales-ai/instoreConsumer,write
instore-write,onlinesales-ai/InstoreDigitalScreenStatusSync,write
instore-write,onlinesales-ai/instoreRedisLoader,write
instore-write,onlinesales-ai/instoreSchedulingConsumer,write
instore-write,onlinesales-ai/instoreScripts,write
instore-write,onlinesales-ai/instoreService,write
instore-write,onlinesales-ai/instoreTranscoder,write
instore-write,onlinesales-ai/kamService,write
instore-write,onlinesales-ai/kuberService,read
instore-write,onlinesales-ai/multiVerseService,read
instore-write,onlinesales-ai/navigatorService,write
instore-write,onlinesales-ai/os-bullmq-client,write
instore-write,onlinesales-ai/os-pyutils,write
instore-write,onlinesales-ai/osmos-claude-plugins,write
osmos-client-delight,onlinesales-ai/adrequest-debugger,write
osmos-client-delight,onlinesales-ai/adserver-deployment-monitoring,read
osmos-client-delight,onlinesales-ai/android-os-sdk,read
osmos-client-delight,onlinesales-ai/aresJobGen,read
osmos-client-delight,onlinesales-ai/auditService,read
osmos-client-delight,onlinesales-ai/brandAdServerV2,read
osmos-client-delight,onlinesales-ai/brandAdsUIService,read
osmos-client-delight,onlinesales-ai/butlerService,read
osmos-client-delight,onlinesales-ai/demo-mobile-apps,read
osmos-client-delight,onlinesales-ai/fileBasedAudienceSync,read
osmos-client-delight,onlinesales-ai/financeService,read
osmos-client-delight,onlinesales-ai/financeServiceConsumer_deprecated,read
osmos-client-delight,onlinesales-ai/flutter-os-sdk,read
osmos-client-delight,onlinesales-ai/flutter-osmos-sdk-source,read
osmos-client-delight,onlinesales-ai/iab-url-verification,read
osmos-client-delight,onlinesales-ai/ios-os-sdk,read
osmos-client-delight,onlinesales-ai/kamService,read
osmos-client-delight,onlinesales-ai/keywordTargetingService-api-qa,write
osmos-client-delight,onlinesales-ai/kuberService,read
osmos-client-delight,onlinesales-ai/marketingService,read
osmos-client-delight,onlinesales-ai/mediaPythonScripts,read
osmos-client-delight,onlinesales-ai/mediaRubyScripts,read
osmos-client-delight,onlinesales-ai/navigatorService,read
osmos-client-delight,onlinesales-ai/offerService,read
osmos-client-delight,onlinesales-ai/onboardingScripts,write
osmos-client-delight,onlinesales-ai/osAdsAudienceRedisPusherApp,read
osmos-client-delight,onlinesales-ai/osAdsTargetingProcessorApp,read
osmos-client-delight,onlinesales-ai/osAudienceUpdator,read
osmos-client-delight,onlinesales-ai/osFileStreamProcessorApp,read
osmos-client-delight,onlinesales-ai/osmos-api-qa,write
osmos-client-delight,onlinesales-ai/osmos-display-adserver-api-qa,maintain
osmos-client-delight,onlinesales-ai/osmos-flutter-sdk,read
osmos-client-delight,onlinesales-ai/osmos-web-sdk,read
osmos-client-delight,onlinesales-ai/osPackageLauncher,read
osmos-client-delight,onlinesales-ai/osPackageSvc,maintain
osmos-client-delight,onlinesales-ai/osSolrLoaderApp,read
osmos-client-delight,onlinesales-ai/plaAdServer,read
osmos-client-delight,onlinesales-ai/placement-automation,read
osmos-client-delight,onlinesales-ai/pmaxLauncher,read
osmos-client-delight,onlinesales-ai/reportService,read
osmos-client-delight,onlinesales-ai/revXAdServerNodeV2,read
osmos-client-delight,onlinesales-ai/trackm,read
osmos-client-delight,onlinesales-ai/workflowEngine,maintain
osmos-client-delight-admin,onlinesales-ai/adrequest-debugger,write
osmos-client-delight-admin,onlinesales-ai/adserver-deployment-monitoring,read
osmos-client-delight-admin,onlinesales-ai/AdServerESOConfiguration,admin
osmos-client-delight-admin,onlinesales-ai/android-os-sdk,admin
osmos-client-delight-admin,onlinesales-ai/aresJobGen,admin
osmos-client-delight-admin,onlinesales-ai/ArgoCD-Stage,admin
osmos-client-delight-admin,onlinesales-ai/auditService,read
osmos-client-delight-admin,onlinesales-ai/brandAdServerV2,admin
osmos-client-delight-admin,onlinesales-ai/brandAdsUIService,admin
osmos-client-delight-admin,onlinesales-ai/butlerService,read
osmos-client-delight-admin,onlinesales-ai/catalogSyncService,admin
osmos-client-delight-admin,onlinesales-ai/demo-mobile-apps,admin
osmos-client-delight-admin,onlinesales-ai/fileBasedAudienceSync,admin
osmos-client-delight-admin,onlinesales-ai/financeService,admin
osmos-client-delight-admin,onlinesales-ai/financeServiceConsumer_deprecated,admin
osmos-client-delight-admin,onlinesales-ai/flutter-ecommerce-demo-app,admin
osmos-client-delight-admin,onlinesales-ai/flutter-os-sdk,admin
osmos-client-delight-admin,onlinesales-ai/flutter-osmos-sdk-source,admin
osmos-client-delight-admin,onlinesales-ai/iab-url-verification,admin
osmos-client-delight-admin,onlinesales-ai/ios-os-sdk,admin
osmos-client-delight-admin,onlinesales-ai/kamService,read
osmos-client-delight-admin,onlinesales-ai/keywordTargetingService-api-qa,admin
osmos-client-delight-admin,onlinesales-ai/kuberService,admin
osmos-client-delight-admin,onlinesales-ai/marketingService,admin
osmos-client-delight-admin,onlinesales-ai/mediaPythonScripts,read
osmos-client-delight-admin,onlinesales-ai/mediaRubyScripts,read
osmos-client-delight-admin,onlinesales-ai/navigatorService,read
osmos-client-delight-admin,onlinesales-ai/offerService,admin
osmos-client-delight-admin,onlinesales-ai/onboardingScripts,admin
osmos-client-delight-admin,onlinesales-ai/os-common-middlewares,admin
osmos-client-delight-admin,onlinesales-ai/os-gcp-client,admin
osmos-client-delight-admin,onlinesales-ai/os-moloco-client,admin
osmos-client-delight-admin,onlinesales-ai/os-pyutils,admin
osmos-client-delight-admin,onlinesales-ai/os-svc-client,admin
osmos-client-delight-admin,onlinesales-ai/osAdsAudienceRedisPusherApp,admin
osmos-client-delight-admin,onlinesales-ai/osAdsTargetingProcessorApp,admin
osmos-client-delight-admin,onlinesales-ai/osAudienceUpdator,admin
osmos-client-delight-admin,onlinesales-ai/osFileStreamProcessorApp,admin
osmos-client-delight-admin,onlinesales-ai/osmos-api-qa,admin
osmos-client-delight-admin,onlinesales-ai/osmos-display-adserver-api-qa,admin
osmos-client-delight-admin,onlinesales-ai/osmos-flutter-sdk,admin
osmos-client-delight-admin,onlinesales-ai/osmos-web-sdk,admin
osmos-client-delight-admin,onlinesales-ai/osPackageLauncher,admin
osmos-client-delight-admin,onlinesales-ai/osPackageSvc,admin
osmos-client-delight-admin,onlinesales-ai/osSolrLoaderApp,admin
osmos-client-delight-admin,onlinesales-ai/osSvcClient4pyV2,admin
osmos-client-delight-admin,onlinesales-ai/plaAdServer,admin
osmos-client-delight-admin,onlinesales-ai/placement-automation,read
osmos-client-delight-admin,onlinesales-ai/pmaxLauncher,read
osmos-client-delight-admin,onlinesales-ai/reportService,admin
osmos-client-delight-admin,onlinesales-ai/reviewService,admin
osmos-client-delight-admin,onlinesales-ai/revXAdServerNodeV2,admin
osmos-client-delight-admin,onlinesales-ai/storeFeedSync,admin
osmos-client-delight-admin,onlinesales-ai/trackm,admin
osmos-client-delight-admin,onlinesales-ai/workflowEngine,maintain
osmos-client-delight-write,onlinesales-ai/adrequest-debugger,write
osmos-client-delight-write,onlinesales-ai/adserver-deployment-monitoring,read
osmos-client-delight-write,onlinesales-ai/android-os-sdk,write
osmos-client-delight-write,onlinesales-ai/android-osmos-sdk-source,maintain
osmos-client-delight-write,onlinesales-ai/aresJobGen,write
osmos-client-delight-write,onlinesales-ai/ArgoCD-Prod,read
osmos-client-delight-write,onlinesales-ai/auditService,read
osmos-client-delight-write,onlinesales-ai/brandAdServerV2,write
osmos-client-delight-write,onlinesales-ai/brandAdsUIService,write
osmos-client-delight-write,onlinesales-ai/butlerService,read
osmos-client-delight-write,onlinesales-ai/campaignUserActionConsumer,maintain
osmos-client-delight-write,onlinesales-ai/catalogSyncService,maintain
osmos-client-delight-write,onlinesales-ai/creativeUploadService,write
osmos-client-delight-write,onlinesales-ai/demo-mobile-apps,write
osmos-client-delight-write,onlinesales-ai/fileBasedAudienceSync,write
osmos-client-delight-write,onlinesales-ai/financeService,write
osmos-client-delight-write,onlinesales-ai/financeServiceConsumer_deprecated,write
osmos-client-delight-write,onlinesales-ai/flutter-os-sdk,write
osmos-client-delight-write,onlinesales-ai/flutter-osmos-sdk-source,write
osmos-client-delight-write,onlinesales-ai/iab-url-verification,write
osmos-client-delight-write,onlinesales-ai/ios-os-sdk,write
osmos-client-delight-write,onlinesales-ai/ios-osmos-sdk-source,maintain
osmos-client-delight-write,onlinesales-ai/kamService,write
osmos-client-delight-write,onlinesales-ai/keywordTargetingService-api-qa,write
osmos-client-delight-write,onlinesales-ai/kuberService,write
osmos-client-delight-write,onlinesales-ai/localium-catalog-svc,write
osmos-client-delight-write,onlinesales-ai/marketingService,write
osmos-client-delight-write,onlinesales-ai/mediaPythonScripts,write
osmos-client-delight-write,onlinesales-ai/mediaRubyScripts,write
osmos-client-delight-write,onlinesales-ai/navigatorService,write
osmos-client-delight-write,onlinesales-ai/offerService,write
osmos-client-delight-write,onlinesales-ai/onboardingScripts,write
osmos-client-delight-write,onlinesales-ai/os-common-middlewares,write
osmos-client-delight-write,onlinesales-ai/os-gcp-client,write
osmos-client-delight-write,onlinesales-ai/os-svc-client,write
osmos-client-delight-write,onlinesales-ai/osAdsAudienceRedisPusherApp,write
osmos-client-delight-write,onlinesales-ai/osAdsTargetingProcessorApp,write
